log_id,normalised,match_type,top1_template,top1_score,top2_template,top2_score,top3_template,top3_score,latency_ms,store_size
61,Running task 7.0 in stage 27.0 (TID 1247),partial,Running task <*> in stage <*> (TID <*>,0.9039,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6152,Got assigned task <*>,0.4615,14.99,33
62,Found block rdd_42_5 locally,partial,Found block rdd_<*> locally,0.9509,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6331,"Partition rdd_<*> not found, computing it",0.5913,14.53,33
63,Got assigned task 1248,partial,Got assigned task <*>,0.9653,Got assigned task 590,0.8074,Got assigned task 360,0.8027,14.52,33
64,Running task 8.0 in stage 27.0 (TID 1248),partial,Running task <*> in stage <*> (TID <*>,0.8929,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6081,Got assigned task <*>,0.4464,14.4,33
65,Got assigned task 1249,partial,Got assigned task <*>,0.976,Got assigned task 590,0.8053,Got assigned task 360,0.7797,14.08,33
66,Running task 9.0 in stage 27.0 (TID 1249),partial,Running task <*> in stage <*> (TID <*>,0.9058,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6146,Got assigned task <*>,0.4964,14.68,33
67,Found block rdd_42_7 locally,partial,Found block rdd_<*> locally,0.9514,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6324,"Partition rdd_<*> not found, computing it",0.5946,14.35,33
68,Found block rdd_42_6 locally,partial,Found block rdd_<*> locally,0.9662,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6315,"Partition rdd_<*> not found, computing it",0.5974,14.73,33
69,Found block rdd_42_8 locally,partial,Found block rdd_<*> locally,0.9519,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6363,"Partition rdd_<*> not found, computing it",0.5918,14.91,33
70,Found block rdd_42_9 locally,partial,Found block rdd_<*> locally,0.9585,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6243,"Partition rdd_<*> not found, computing it",0.5813,14.8,33
71,"Times: total = 40, boot = 26, init = 13, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9656,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3876,Reading broadcast variable <*> took <*> ms,0.2524,14.89,33
72,Finished task 5.0 in stage 27.0 (TID 1245). 2721 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.969,Running task <*> in stage <*> (TID <*>,0.6105,Got assigned task <*>,0.4963,15.43,33
73,"Times: total = 42, boot = 13, init = 28, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9698,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.394,Got assigned task 273,0.2682,15.15,33
74,"Times: total = 40, boot = 15, init = 25, finish = 0",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9753,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3801,Reading broadcast variable <*> took <*> ms,0.2498,14.66,33
75,"Times: total = 42, boot = 24, init = 17, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.966,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3922,Got assigned task 273,0.2666,14.6,33
76,Got assigned task 1250,partial,Got assigned task <*>,0.908,Got assigned task 590,0.7654,Got assigned task 360,0.755,14.25,33
77,Running task 10.0 in stage 27.0 (TID 1250),partial,Running task <*> in stage <*> (TID <*>,0.9274,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6304,Got assigned task <*>,0.473,14.89,33
78,"Times: total = 43, boot = 13, init = 29, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.973,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3967,Reading broadcast variable <*> took <*> ms,0.2733,14.93,33
79,Finished task 8.0 in stage 27.0 (TID 1248). 2263 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9585,Running task <*> in stage <*> (TID <*>,0.6084,Got assigned task 273,0.4858,15.25,33
80,Finished task 6.0 in stage 27.0 (TID 1246). 2220 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.965,Running task <*> in stage <*> (TID <*>,0.6423,Got assigned task 273,0.4766,15.19,33
81,Finished task 7.0 in stage 27.0 (TID 1247). 2171 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9541,Running task <*> in stage <*> (TID <*>,0.5796,Got assigned task 273,0.5043,15.07,33
82,Found block rdd_42_10 locally,partial,Found block rdd_<*> locally,0.9665,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6386,"Partition rdd_<*> not found, computing it",0.5938,14.44,33
83,Finished task 9.0 in stage 27.0 (TID 1249). 2427 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9618,Running task <*> in stage <*> (TID <*>,0.6288,Got assigned task <*>,0.4802,14.88,33
84,Got assigned task 1251,partial,Got assigned task <*>,0.9326,Got assigned task 590,0.7623,Got assigned task 360,0.7601,14.24,33
85,Running task 11.0 in stage 27.0 (TID 1251),partial,Running task <*> in stage <*> (TID <*>,0.9141,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6257,Got assigned task <*>,0.5262,14.58,33
86,Got assigned task 1252,partial,Got assigned task <*>,0.9345,Got assigned task 360,0.7565,Got assigned task 590,0.7463,14.06,33
87,Running task 12.0 in stage 27.0 (TID 1252),partial,Running task <*> in stage <*> (TID <*>,0.9135,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6346,Got assigned task <*>,0.5143,14.32,33
88,Got assigned task 1253,partial,Got assigned task <*>,0.9429,Got assigned task 360,0.7615,Got assigned task 590,0.7504,14.33,33
89,Running task 13.0 in stage 27.0 (TID 1253),partial,Running task <*> in stage <*> (TID <*>,0.8949,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6244,Got assigned task <*>,0.5053,14.71,33
90,Got assigned task 1254,partial,Got assigned task <*>,0.944,Got assigned task 360,0.7615,Got assigned task 590,0.7508,14.25,33
91,Running task 14.0 in stage 27.0 (TID 1254),partial,Running task <*> in stage <*> (TID <*>,0.9112,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6425,Got assigned task <*>,0.5003,14.73,33
92,Found block rdd_42_11 locally,partial,Found block rdd_<*> locally,0.9663,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6323,"Partition rdd_<*> not found, computing it",0.5948,14.56,33
93,Found block rdd_42_12 locally,partial,Found block rdd_<*> locally,0.9693,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6358,"Partition rdd_<*> not found, computing it",0.5936,14.71,33
94,Found block rdd_42_13 locally,partial,Found block rdd_<*> locally,0.9759,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6274,"Partition rdd_<*> not found, computing it",0.5898,14.68,33
95,Found block rdd_42_14 locally,partial,Found block rdd_<*> locally,0.9695,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6285,"Partition rdd_<*> not found, computing it",0.5912,14.36,33
96,"Times: total = 40, boot = 14, init = 25, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9764,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3703,Reading broadcast variable <*> took <*> ms,0.246,14.73,33
97,Finished task 10.0 in stage 27.0 (TID 1250). 2667 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9705,Running task <*> in stage <*> (TID <*>,0.6322,Got assigned task <*>,0.4948,14.75,33
98,Got assigned task 1255,partial,Got assigned task <*>,0.9295,Got assigned task 360,0.7459,Got assigned task 590,0.7406,14.41,33
99,Running task 15.0 in stage 27.0 (TID 1255),partial,Running task <*> in stage <*> (TID <*>,0.868,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6049,Got assigned task <*>,0.4897,14.5,33
100,"Times: total = 39, boot = 12, init = 26, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9666,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3941,Reading broadcast variable <*> took <*> ms,0.2586,14.87,33
101,"Times: total = 42, boot = 13, init = 28, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9707,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3942,Got assigned task 273,0.2682,15.03,33
102,"Times: total = 40, boot = 10, init = 29, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9693,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3792,Reading broadcast variable <*> took <*> ms,0.2531,15.13,33
103,Finished task 11.0 in stage 27.0 (TID 1251). 2402 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9577,Running task <*> in stage <*> (TID <*>,0.6505,Got assigned task <*>,0.4814,16.77,33
104,Finished task 12.0 in stage 27.0 (TID 1252). 2486 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9586,Running task <*> in stage <*> (TID <*>,0.6328,Got assigned task <*>,0.4705,16.04,33
105,"Times: total = 41, boot = 11, init = 29, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9721,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3977,Reading broadcast variable <*> took <*> ms,0.263,15.31,33
106,Found block rdd_42_15 locally,partial,Found block rdd_<*> locally,0.9662,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6265,"Partition rdd_<*> not found, computing it",0.5826,14.53,33
107,Finished task 14.0 in stage 27.0 (TID 1254). 2404 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9535,Running task <*> in stage <*> (TID <*>,0.6487,Got assigned task 273,0.463,15.06,33
108,Got assigned task 1256,partial,Got assigned task <*>,0.9573,Got assigned task 360,0.7785,Got assigned task 590,0.7744,14.59,33
109,Running task 16.0 in stage 27.0 (TID 1256),partial,Running task <*> in stage <*> (TID <*>,0.9259,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6415,Got assigned task <*>,0.4553,15.27,33
110,Got assigned task 1257,partial,Got assigned task <*>,0.956,Got assigned task 360,0.7685,Got assigned task 590,0.7605,14.45,33
111,Finished task 13.0 in stage 27.0 (TID 1253). 2522 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9612,Running task <*> in stage <*> (TID <*>,0.6144,Got assigned task <*>,0.489,15.02,33
112,Running task 17.0 in stage 27.0 (TID 1257),partial,Running task <*> in stage <*> (TID <*>,0.8947,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6324,Got assigned task <*>,0.4938,14.38,33
113,Got assigned task 1258,partial,Got assigned task <*>,0.9488,Got assigned task 360,0.7726,Got assigned task 590,0.7629,14.02,33
114,Running task 18.0 in stage 27.0 (TID 1258),partial,Running task <*> in stage <*> (TID <*>,0.9143,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6286,Got assigned task <*>,0.4793,14.31,33
115,Got assigned task 1259,partial,Got assigned task <*>,0.9649,Got assigned task 590,0.7681,Got assigned task 360,0.7617,14.05,33
116,Running task 19.0 in stage 27.0 (TID 1259),partial,Running task <*> in stage <*> (TID <*>,0.9043,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6305,Got assigned task <*>,0.4685,14.75,33
117,Found block rdd_42_16 locally,partial,Found block rdd_<*> locally,0.967,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.649,"Partition rdd_<*> not found, computing it",0.5912,14.53,33
118,Found block rdd_42_17 locally,partial,Found block rdd_<*> locally,0.9717,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6308,"Partition rdd_<*> not found, computing it",0.5844,14.64,33
119,Found block rdd_42_19 locally,partial,Found block rdd_<*> locally,0.978,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.631,"Partition rdd_<*> not found, computing it",0.5945,14.6,33
120,Found block rdd_42_18 locally,partial,Found block rdd_<*> locally,0.9779,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6292,"Partition rdd_<*> not found, computing it",0.5947,14.59,33
121,"Times: total = 42, boot = 19, init = 22, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9798,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3921,Got assigned task 273,0.2609,14.83,33
122,Finished task 15.0 in stage 27.0 (TID 1255). 2523 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9528,Running task <*> in stage <*> (TID <*>,0.6071,Got assigned task <*>,0.4869,15.19,33
123,"Times: total = 39, boot = 15, init = 24, finish = 0",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9783,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3924,Reading broadcast variable <*> took <*> ms,0.273,14.81,33
124,Got assigned task 1260,partial,Got assigned task <*>,0.9469,Got assigned task 590,0.7994,Got assigned task 273,0.7616,14.36,33
125,Running task 20.0 in stage 27.0 (TID 1260),partial,Running task <*> in stage <*> (TID <*>,0.93,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6457,Got assigned task <*>,0.4398,14.81,33
126,Finished task 16.0 in stage 27.0 (TID 1256). 2171 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9611,Running task <*> in stage <*> (TID <*>,0.6037,Got assigned task 273,0.4925,15.07,33
127,"Times: total = 40, boot = 14, init = 26, finish = 0",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9762,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.4091,Reading broadcast variable <*> took <*> ms,0.2663,14.83,33
