log_id,normalised,match_type,top1_template,top1_score,top2_template,top2_score,top3_template,top3_score,latency_ms,store_size
55,Running task 5.0 in stage 27.0 (TID 1245),partial,Running task <*> in stage <*> (TID <*>,0.9401,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.621,Got assigned task <*>,0.4766,33.16,33
56,Finished task 3.0 in stage 27.0 (TID 1243). 2651 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9736,Running task <*> in stage <*> (TID <*>,0.6353,Got assigned task 273,0.4767,33.39,33
57,Got assigned task 1246,partial,Got assigned task <*>,0.926,Got assigned task 590,0.8091,Got assigned task 360,0.7992,26.85,33
58,Finished task 1.0 in stage 27.0 (TID 1241). 2428 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9864,Running task <*> in stage <*> (TID <*>,0.6732,Got assigned task 273,0.4804,24.84,33
59,Running task 6.0 in stage 27.0 (TID 1246),partial,Running task <*> in stage <*> (TID <*>,0.9285,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6238,Got assigned task <*>,0.4637,23.47,33
60,Got assigned task 1247,partial,Got assigned task <*>,0.9243,Got assigned task 590,0.798,Got assigned task 360,0.7877,33.18,33
61,Running task 7.0 in stage 27.0 (TID 1247),partial,Running task <*> in stage <*> (TID <*>,0.9271,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6198,Got assigned task <*>,0.4614,22.6,33
62,Found block rdd_42_5 locally,partial,Found block rdd_<*> locally,0.9745,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.635,"Partition rdd_<*> not found, computing it",0.592,26.63,33
63,Got assigned task 1248,partial,Got assigned task <*>,0.9361,Got assigned task 590,0.8074,Got assigned task 360,0.8027,24.98,33
64,Running task 8.0 in stage 27.0 (TID 1248),partial,Running task <*> in stage <*> (TID <*>,0.9073,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6086,Got assigned task <*>,0.4581,33.66,33
65,Got assigned task 1249,partial,Got assigned task <*>,0.9353,Got assigned task 590,0.8053,Got assigned task 360,0.7797,24.38,33
66,Running task 9.0 in stage 27.0 (TID 1249),partial,Running task <*> in stage <*> (TID <*>,0.917,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6129,Got assigned task <*>,0.4812,24.48,33
67,Found block rdd_42_7 locally,partial,Found block rdd_<*> locally,0.9738,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6346,"Partition rdd_<*> not found, computing it",0.5954,25.56,33
68,Found block rdd_42_6 locally,partial,Found block rdd_<*> locally,0.9792,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6327,"Partition rdd_<*> not found, computing it",0.5977,31.02,33
69,Found block rdd_42_8 locally,partial,Found block rdd_<*> locally,0.9717,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.638,"Partition rdd_<*> not found, computing it",0.5926,27.95,33
70,Found block rdd_42_9 locally,partial,Found block rdd_<*> locally,0.9741,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.626,"Partition rdd_<*> not found, computing it",0.5821,24.12,33
71,"Times: total = 40, boot = 26, init = 13, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9703,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3891,Running task <*> in stage <*> (TID <*>,0.2588,25.05,33
72,Finished task 5.0 in stage 27.0 (TID 1245). 2721 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.974,Running task <*> in stage <*> (TID <*>,0.6285,Got assigned task 273,0.4933,39.81,33
73,"Times: total = 42, boot = 13, init = 28, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9741,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3964,Got assigned task 273,0.2682,27.0,33
74,"Times: total = 40, boot = 15, init = 25, finish = 0",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9773,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3784,Reading broadcast variable <*> took <*> ms,0.2513,24.77,33
75,"Times: total = 42, boot = 24, init = 17, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9704,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3915,Got assigned task 273,0.2666,24.57,33
76,Got assigned task 1250,partial,Got assigned task <*>,0.8921,Got assigned task 590,0.7654,Got assigned task 360,0.755,42.18,33
77,Running task 10.0 in stage 27.0 (TID 1250),partial,Running task <*> in stage <*> (TID <*>,0.9393,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6271,Got assigned task <*>,0.4757,24.58,33
78,"Times: total = 43, boot = 13, init = 29, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9767,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3994,Reading broadcast variable <*> took <*> ms,0.2744,30.72,33
79,Finished task 8.0 in stage 27.0 (TID 1248). 2263 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.964,Running task <*> in stage <*> (TID <*>,0.6252,Got assigned task 273,0.4858,26.06,33
80,Finished task 6.0 in stage 27.0 (TID 1246). 2220 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9693,Running task <*> in stage <*> (TID <*>,0.6583,Got assigned task 273,0.4766,39.96,33
81,Finished task 7.0 in stage 27.0 (TID 1247). 2171 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9631,Running task <*> in stage <*> (TID <*>,0.602,Got assigned task 273,0.5043,29.2,33
82,Found block rdd_42_10 locally,partial,Found block rdd_<*> locally,0.9801,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.64,"Partition rdd_<*> not found, computing it",0.5943,23.76,33
83,Finished task 9.0 in stage 27.0 (TID 1249). 2427 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9666,Running task <*> in stage <*> (TID <*>,0.6458,Got assigned task 273,0.4703,24.58,33
84,Got assigned task 1251,partial,Got assigned task <*>,0.9088,Got assigned task 590,0.7623,Got assigned task 360,0.7601,34.49,33
85,Running task 11.0 in stage 27.0 (TID 1251),partial,Running task <*> in stage <*> (TID <*>,0.9276,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6241,Got assigned task <*>,0.5102,22.38,33
86,Got assigned task 1252,partial,Got assigned task <*>,0.9045,Got assigned task 360,0.7565,Got assigned task 590,0.7463,32.36,33
87,Running task 12.0 in stage 27.0 (TID 1252),partial,Running task <*> in stage <*> (TID <*>,0.9227,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6307,Got assigned task <*>,0.5044,26.19,33
88,Got assigned task 1253,partial,Got assigned task <*>,0.9147,Got assigned task 360,0.7615,Got assigned task 590,0.7504,36.47,33
89,Running task 13.0 in stage 27.0 (TID 1253),partial,Running task <*> in stage <*> (TID <*>,0.913,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6245,Got assigned task <*>,0.4943,32.73,33
90,Got assigned task 1254,partial,Got assigned task <*>,0.9214,Got assigned task 360,0.7615,Got assigned task 590,0.7508,31.78,33
91,Running task 14.0 in stage 27.0 (TID 1254),partial,Running task <*> in stage <*> (TID <*>,0.9302,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6435,Got assigned task <*>,0.5031,25.03,33
92,Found block rdd_42_11 locally,partial,Found block rdd_<*> locally,0.9788,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6338,"Partition rdd_<*> not found, computing it",0.5951,42.78,33
93,Found block rdd_42_12 locally,partial,Found block rdd_<*> locally,0.98,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.637,"Partition rdd_<*> not found, computing it",0.5939,23.61,33
94,Found block rdd_42_13 locally,partial,Found block rdd_<*> locally,0.9837,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6283,"Partition rdd_<*> not found, computing it",0.59,24.99,33
95,Found block rdd_42_14 locally,partial,Found block rdd_<*> locally,0.9816,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6299,"Partition rdd_<*> not found, computing it",0.5918,25.32,33
96,"Times: total = 40, boot = 14, init = 25, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.98,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3693,Reading broadcast variable <*> took <*> ms,0.2477,37.66,33
97,Finished task 10.0 in stage 27.0 (TID 1250). 2667 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9741,Running task <*> in stage <*> (TID <*>,0.6488,Got assigned task <*>,0.4827,18.43,33
98,Got assigned task 1255,partial,Got assigned task <*>,0.9074,Got assigned task 360,0.7459,Got assigned task 590,0.7406,37.05,33
99,Running task 15.0 in stage 27.0 (TID 1255),partial,Running task <*> in stage <*> (TID <*>,0.8861,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6042,Got assigned task <*>,0.4822,23.99,33
100,"Times: total = 39, boot = 12, init = 26, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9707,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.395,Running task <*> in stage <*> (TID <*>,0.2608,30.58,33
101,"Times: total = 42, boot = 13, init = 28, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9747,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3964,Got assigned task 273,0.2682,28.27,33
102,"Times: total = 40, boot = 10, init = 29, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9729,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3809,Running task <*> in stage <*> (TID <*>,0.2566,23.31,33
103,Finished task 11.0 in stage 27.0 (TID 1251). 2402 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.963,Running task <*> in stage <*> (TID <*>,0.6674,Got assigned task <*>,0.4643,22.97,33
104,Finished task 12.0 in stage 27.0 (TID 1252). 2486 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9618,Running task <*> in stage <*> (TID <*>,0.6473,Got assigned task <*>,0.4573,34.79,33
105,"Times: total = 41, boot = 11, init = 29, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9757,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3996,Running task <*> in stage <*> (TID <*>,0.2648,24.29,33
106,Found block rdd_42_15 locally,partial,Found block rdd_<*> locally,0.9779,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6279,"Partition rdd_<*> not found, computing it",0.5831,26.71,33
107,Finished task 14.0 in stage 27.0 (TID 1254). 2404 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9594,Running task <*> in stage <*> (TID <*>,0.6694,Got assigned task 273,0.463,25.16,33
108,Got assigned task 1256,partial,Got assigned task <*>,0.9377,Got assigned task 360,0.7785,Got assigned task 590,0.7744,33.74,33
109,Running task 16.0 in stage 27.0 (TID 1256),partial,Running task <*> in stage <*> (TID <*>,0.9354,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6375,Got assigned task <*>,0.4681,27.66,33
110,Got assigned task 1257,partial,Got assigned task <*>,0.9348,Got assigned task 360,0.7685,Got assigned task 590,0.7605,22.42,33
111,Finished task 13.0 in stage 27.0 (TID 1253). 2522 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9676,Running task <*> in stage <*> (TID <*>,0.635,Got assigned task 273,0.471,32.41,33
112,Running task 17.0 in stage 27.0 (TID 1257),partial,Running task <*> in stage <*> (TID <*>,0.9098,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6312,Got assigned task <*>,0.4905,33.55,33
113,Got assigned task 1258,partial,Got assigned task <*>,0.9309,Got assigned task 360,0.7726,Got assigned task 590,0.7629,24.57,33
114,Running task 18.0 in stage 27.0 (TID 1258),partial,Running task <*> in stage <*> (TID <*>,0.9237,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6248,Got assigned task <*>,0.4872,24.9,33
115,Got assigned task 1259,partial,Got assigned task <*>,0.9413,Got assigned task 590,0.7681,Got assigned task 360,0.7617,24.84,33
116,Running task 19.0 in stage 27.0 (TID 1259),partial,Running task <*> in stage <*> (TID <*>,0.9205,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6295,Got assigned task <*>,0.4663,33.32,33
117,Found block rdd_42_16 locally,partial,Found block rdd_<*> locally,0.9783,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6506,"Partition rdd_<*> not found, computing it",0.5918,25.15,33
118,Found block rdd_42_17 locally,partial,Found block rdd_<*> locally,0.9805,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6324,"Partition rdd_<*> not found, computing it",0.5847,24.69,33
119,Found block rdd_42_19 locally,partial,Found block rdd_<*> locally,0.9848,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6321,"Partition rdd_<*> not found, computing it",0.5948,24.77,33
120,Found block rdd_42_18 locally,partial,Found block rdd_<*> locally,0.9851,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6304,"Partition rdd_<*> not found, computing it",0.595,34.21,33
121,"Times: total = 42, boot = 19, init = 22, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9831,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3905,Got assigned task 273,0.2609,23.72,33
122,Finished task 15.0 in stage 27.0 (TID 1255). 2523 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9581,Running task <*> in stage <*> (TID <*>,0.6271,Got assigned task <*>,0.4714,25.41,33
123,"Times: total = 39, boot = 15, init = 24, finish = 0",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9806,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3933,Reading broadcast variable <*> took <*> ms,0.274,24.85,33
124,Got assigned task 1260,partial,Got assigned task <*>,0.9464,Got assigned task 590,0.7994,Got assigned task 273,0.7616,33.34,33
125,Running task 20.0 in stage 27.0 (TID 1260),partial,Running task <*> in stage <*> (TID <*>,0.938,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6416,Got assigned task <*>,0.4503,25.1,33
126,Finished task 16.0 in stage 27.0 (TID 1256). 2171 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9645,Running task <*> in stage <*> (TID <*>,0.6183,Got assigned task 273,0.4925,24.93,33
127,"Times: total = 40, boot = 14, init = 26, finish = 0",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9784,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.4106,Running task <*> in stage <*> (TID <*>,0.2784,24.7,33
